ID,eth
HG02493,PJL
HG01918,PEL
HG02501,ACB
HG01920,PEL
HG02513,KHV
HG02012,ACB
HG02525,KHV
HG02017,KHV
HG02537,ACB
HG02549,ACB
HG02442,ACB
HG02284,ACB
HG02461,GWD
HG02291,PEL
HG02304,PEL
HG02170,CDX
HG02309,ACB
HG02182,CDX
HG02187,CDX
HG02323,ACB
HG02219,IBS
HG02330,ACB
HG02221,IBS
HG02347,PEL
HG02283,ACB
HG02373,CDX
HG02288,PEL
HG02380,CDX
HG02385,CDX
HG02308,ACB
HG02392,CDX
HG02353,CDX
HG02397,CDX
HG02358,CDX
HG02405,CDX
HG02360,CDX
HG02789,PJL
HG02372,CDX
HG02377,CDX
HG02804,GWD
HG02384,CDX
HG02144,ACB
HG02811,GWD
HG02151,CDX
HG02816,GWD
HG02156,CDX
HG02854,GWD
HG02168,CDX
HG02861,GWD
HG02233,IBS
HG02878,GWD
HG02238,IBS
HG02885,GWD
HG02252,PEL
HG02271,PEL
HG02974,ESN
HG02315,ACB
HG02979,ESN
HG02322,ACB
HG02981,ESN
HG02334,ACB
HG03009,BEB
HG02339,ACB
HG03016,PJL
HG02389,CDX
HG02391,CDX
HG02734,PJL
HG02396,CDX
HG02409,CDX
HG02760,GWD
HG02733,PJL
HG02772,GWD
HG02784,PJL
HG02757,GWD
HG02690,PJL
HG02703,GWD
HG02769,GWD
HG02715,GWD
HG02771,GWD
HG02722,GWD
HG02727,PJL
HG02783,PJL
HG03028,GWD
HG02562,GWD
HG02567,GWD
HG02574,GWD
HG03054,MSL
HG02586,GWD
HG02601,PJL
HG03061,MSL
HG02657,PJL
HG02790,PJL
HG02676,GWD
HG02808,GWD
HG02810,GWD
HG02688,PJL
HG02614,GWD
HG02839,GWD
HG02621,GWD
HG02645,GWD
HG02652,PJL
HG02860,GWD
HG02943,ESN
HG02884,GWD
HG03066,MSL
HG02891,GWD
HG03073,MSL
HG02896,GWD
HG03078,MSL
HG02923,ESN
HG02478,ACB
HG03085,MSL
HG03097,MSL
HG02485,ACB
HG03249,GWD
HG02497,ACB
HG03268,ESN
HG02505,ACB
HG03270,ESN
HG03294,ESN
HG03100,ESN
HG02675,GWD
HG03105,ESN
HG02682,PJL
HG03112,ESN
HG02687,PJL
HG03117,ESN
HG02613,GWD
HG03352,ESN
HG02620,GWD
HG03369,ESN
HG03376,MSL
HG02649,PJL
HG03383,MSL
HG02651,PJL
HG03388,MSL
HG02694,PJL
HG02699,PJL
HG03408,MSL
HG02702,GWD
HG03410,MSL
HG02721,GWD
HG03198,ESN
HG03225,MSL
HG02512,KHV
HG03237,PJL
HG02524,KHV
HG03124,ESN
HG02536,ACB
HG03129,ESN
HG02555,ACB
HG03027,GWD
HG03136,ESN
HG03034,GWD
HG03039,GWD
HG03307,ESN
HG03046,GWD
HG03162,ESN
HG03058,MSL
HG03060,MSL
HG03193,ESN
HG03072,MSL
HG03077,MSL
HG03624,PJL
HG03084,MSL
HG03629,PJL
HG03091,MSL
HG03631,PJL
HG03096,MSL
HG03636,PJL
HG03698,STU
HG03250,GWD
HG03267,ESN
HG03706,PJL
HG03279,ESN
HG03713,ITU
HG03491,PJL
HG03511,ESN
HG03212,MSL
HG03224,MSL
HG03460,MSL
HG03229,PJL
HG03472,MSL
HG02973,ESN
HG03484,MSL
HG03439,MSL
HG03446,MSL
HG03015,PJL
HG03022,PJL
HG03458,MSL
HG03123,ESN
HG03643,STU
HG03650,PJL
HG03130,ESN
HG03667,PJL
HG03135,ESN
HG03578,MSL
HG03159,ESN
HG03585,BEB
HG03600,BEB
HG03109,ESN
HG03679,STU
HG03111,ESN
HG03681,STU
HG03686,STU
HG03693,STU
HG02947,ESN
HG03547,MSL
HG03559,MSL
HG03566,MSL
HG03718,ITU
