,maml_error
409,1.7753896
410,1.669085
411,2.419284
412,2.176581
413,2.2129107
414,2.8417683
415,2.0871735
416,1.4867067
417,1.938812
418,1.8472409
419,1.9841189
420,2.3355708
421,1.9340459
422,1.5669721
423,1.6483228
424,2.214613
425,2.1450381
426,3.1375816
427,2.1579804
428,2.6978652
429,3.0237365
430,3.1167755
431,2.7364051
432,1.7654437
433,3.6600542
434,2.3522856
435,1.9364265
436,1.5856185
437,1.4543318
438,1.6929208
439,1.2520068
440,1.452524
441,2.7543023
442,1.9853302
443,2.7763815
444,1.3826538
445,2.264207
446,3.988895
447,2.6165957
448,2.7492876
449,2.1020207
450,1.3544796
451,1.5223314
452,1.3445166
453,1.5140804
454,2.884209
455,2.6717265
456,3.555709
457,1.8077065
458,2.0955048
459,1.7524221
460,1.7041501
461,1.5122186
462,1.4993873
463,2.6691763
464,2.032268
465,2.2156785
466,1.4542317
467,2.0947616
468,2.596664
469,1.2560452
470,2.7870982
471,2.7813978
472,1.6652783
473,1.4204615
474,1.6643585
475,1.5658092
476,1.1559201
477,2.203043
478,2.128233
479,1.3577383
480,2.088727
481,1.5709862
482,1.4402121
483,2.6689274
484,2.901062
485,2.3520586
486,2.1614747
487,2.4711785
488,0.7809332
489,2.196642
490,2.8471665
491,2.5765154
492,1.3418552
493,1.6250975
494,2.1315417
495,2.2502053
496,3.6444023
497,2.545651
498,1.7015389
499,2.2618392
500,3.4020991
501,2.8143823
502,1.128922
503,1.9407235
504,2.9911187
505,2.3176746
506,4.3659554
507,2.4744737
508,1.2351531
509,2.5361276
510,2.5734427
511,1.4191679
512,3.1118886
513,2.7185392
514,4.068473
515,1.4574858
516,1.3934387
517,2.4963787
518,1.5809928
519,2.2404945
520,2.12456
521,1.5728253
522,1.8100526
523,2.1688612
524,2.2418058
525,2.0790975
526,1.7000616
527,0.93243
528,1.9748788
529,2.931621
530,2.0607235
531,1.987307
532,1.278504
533,2.335699
534,2.0668168
535,1.6053517
536,5.1767564
537,1.6672691
538,2.3954628
539,2.1883368
540,3.0477018
541,2.0233626
542,2.3915474
543,2.2336287
544,1.9018052
545,1.761548
546,3.7359943
547,1.9752897
548,2.3648229
549,1.728802
550,1.8969659
551,1.1756922
552,0.98700583
553,2.693021
554,2.5930376
555,1.3074671
556,2.283454
557,2.021281
558,2.5138943
559,2.1133897
560,2.5994427
561,2.4487534
562,2.396137
563,0.96604663
564,1.917697
565,2.5359607
566,1.8445187
567,1.2250594
568,1.7871295
569,2.8247821
570,3.679016
571,4.5859227
572,2.220262
573,2.4957094
574,3.3570862
575,2.0849037
576,2.318137
577,5.0003543
578,4.3895044
579,3.1310532
580,1.951339
581,3.111451
582,3.1683807
583,3.7103736
584,2.3982599
585,1.5721147
586,1.9460851
587,2.941605
588,2.4619794
589,1.53052
590,3.76368
591,6.1196327
592,2.7889626
593,2.3706846
594,3.0883956
595,1.7021824
596,2.869236
597,2.1807854
598,2.4239407
599,2.525369
600,2.8639526
601,3.2041364
602,3.6549494
603,3.1916437
604,3.6274602
605,2.63166
606,1.7685288
607,3.8685758
608,2.3301053
609,3.5536137
610,3.1095228
611,3.3653045
612,3.1251984
613,2.3356316
614,2.0312176
615,1.6105735
616,1.8183163
617,2.9812715
618,3.8259795
619,2.2396135
620,1.7050604
621,2.5367634
622,2.7414632
623,3.4954743
624,3.241831
625,2.5896382
626,2.1756623
627,3.9675608
628,4.2730184
629,2.4341297
630,3.9951022
631,4.059855
632,2.3725414
633,3.9590216
634,5.630172
635,2.7519107
636,3.619842
637,2.5937257
638,3.140872
639,3.1363177
640,2.1460538
641,2.1874874
642,2.350109
643,6.0973744
644,3.3180022
645,1.6399007
646,2.454397
647,2.9720025
648,3.7957106
649,2.0626535
650,5.9636374
651,2.461956
652,2.324309
653,2.113729
654,2.8308067
655,2.003004
656,2.2326138
657,3.4854872
658,3.1020977
659,3.6956296
660,2.988322
661,3.7531204
662,2.2849414
663,4.040292
664,3.7355225
665,3.3516197
666,3.6395624
667,3.0787718
668,3.232893
669,2.565958
670,3.0833337
671,3.0155761
672,2.132563
673,2.5899205
674,3.1452527
675,2.433179
676,4.0385337
677,3.019453
678,2.267812
679,3.5119917
680,3.8649166
681,1.837783
682,3.3522947
683,3.3674037
684,1.06193
685,1.9734347
686,2.9036543
687,1.2375768
688,2.6033866
689,2.3314283
690,2.5211968
691,1.9141577
692,1.8127204
693,3.5476515
694,4.659349
695,2.5634282
696,4.4055886
697,3.0102994
698,2.4914536
699,2.82847
700,2.082799
701,1.7235152
702,2.0599654
703,2.188203
704,1.6525859
705,2.5473826
706,0.8060608
707,2.6575103
708,1.7463018
709,4.6577086
710,1.948261
711,1.692238
712,1.658188
713,2.0665221
714,1.8315293
715,1.4808942
716,1.6403418
717,3.5469165
718,2.2578142
719,2.7055938
720,3.7627516
721,3.094661
722,2.167809
723,2.8690364
724,1.7299845
725,2.1853921
726,3.1249223
727,1.9954029
728,1.4786999
729,5.2215304
730,3.313405
731,4.5549355
732,2.1748006
733,1.7849034
734,1.5712485
735,2.1420352
736,3.070614
737,2.1013663
738,2.6258292
739,1.8927401
740,2.5090427
741,2.9366462
742,2.1277766
743,2.0953362
744,2.6662502
745,3.2037814
746,2.1896694
747,2.0578282
748,1.5920644
749,2.0269616
750,2.2969694
751,2.8075926
752,1.7336203
753,2.2492683
754,1.7743615
755,2.3642247
756,4.5385127
757,2.5281549
758,2.318488
759,2.9969313
760,1.9648982
761,2.3330755
762,1.758078
763,1.8652072
764,1.9013592
765,2.6532855
766,4.581802
767,1.7840279
768,3.725986
769,2.0591493
770,1.8918957
771,2.0790806
772,1.7719209
773,2.4712577
774,1.5230689
775,1.0426843
776,2.174914
777,4.1101837
778,1.9068177
779,1.1051717
780,1.2826346
781,4.225019
782,3.2577672
783,2.425303
784,2.26837
785,3.5455024
786,1.8396876
787,2.614816
788,1.6844506
789,3.9873254
790,2.8699322
791,3.235056
792,2.1913495
793,1.6985254
794,2.6155562
795,2.6470082
796,2.8063853
797,2.3042796
798,2.5700731
799,2.5568085
