,lin_error
456,0.4705882
457,0.0
458,0.009803891
459,0.0
460,0.0
461,0.12745094
462,0.0
463,0.09803921
464,0.0
465,0.009803891
466,0.0
467,0.039215624
468,0.0
469,0.26470584
470,0.245098
471,0.0
472,0.22549015
473,0.0
474,0.0
475,0.15686274
476,0.0
477,0.0
478,0.0
479,0.0
480,0.019607782
481,0.07843137
482,0.3431372
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.019607782
489,0.049019575
490,0.06862742
491,0.11764705
492,0.0
493,0.009803891
494,0.029411733
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.16666663
501,0.0
502,0.0
503,0.0
504,0.21875
505,0.0
506,0.0
507,0.20833331
508,0.38541663
509,0.020833313
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.03125
519,0.29166663
520,0.010416627
521,0.0
522,0.0
523,0.0625
524,0.010416627
525,0.4270833
526,0.010416627
527,0.0
528,0.010416627
529,0.020833313
530,0.0
531,0.03125
532,0.0
533,0.020833313
534,0.0
535,0.0
536,0.0
537,0.052083313
538,0.0
539,0.010416627
540,0.0
541,0.09375
542,0.1875
543,0.0
544,0.07291663
545,0.0
546,0.22916663
547,0.0
548,0.375
549,0.23958331
550,0.3020833
551,0.010416627
552,0.125
553,0.0
554,0.38541663
555,0.0
556,0.15625
557,0.03125
558,0.28125
559,0.125
560,0.0
561,0.0
562,0.010416627
563,0.0
564,0.010416627
565,0.020833313
566,0.0
567,0.0
568,0.03125
569,0.0
570,0.0
571,0.0
572,0.5520833
573,0.08333331
574,0.010416627
575,0.041666627
576,0.0
577,0.0
578,0.29166663
579,0.6041666
580,0.0625
581,0.09375
582,0.020833313
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.23958331
592,0.03125
593,0.010416627
594,0.010416627
595,0.0
596,0.020833313
597,0.0
598,0.03125
599,0.0
600,0.0
601,0.30097085
602,0.26213592
603,0.058252394
604,0.1747573
605,0.0
606,0.4174757
607,0.34951454
608,0.03883493
609,0.0
610,0.2815534
611,0.04854369
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.03883493
620,0.0
621,0.2330097
622,0.0
623,0.03883493
624,0.0
625,0.5048543
626,0.0
627,0.0
628,0.029126227
629,0.21359223
630,0.0
631,0.20388347
632,0.07766992
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.06796116
639,0.009708703
640,0.009708703
641,0.0
642,0.29126215
643,0.0
644,0.0
645,0.0
646,0.0
647,0.6407767
648,0.106796086
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.19417477
656,0.009708703
657,0.0
658,0.0
659,0.106796086
