,lin_error
409,1.5715925
410,2.2235765
411,2.4380245
412,2.9331002
413,2.9838417
414,3.8478951
415,2.492965
416,1.9051919
417,1.4013524
418,2.8354056
419,1.8315096
420,1.9587593
421,1.7922584
422,1.5870588
423,2.1671119
424,2.236849
425,2.9297924
426,3.9852626
427,1.9804668
428,2.0158355
429,4.1804852
430,3.725891
431,2.23039
432,2.757995
433,3.3144023
434,3.0060265
435,2.2502968
436,1.6002312
437,1.177791
438,1.630355
439,0.9508575
440,1.4479381
441,1.8188901
442,2.026313
443,4.6605554
444,1.3822703
445,1.9362775
446,3.0047147
447,2.467668
448,2.6559107
449,3.4277182
450,1.4896958
451,1.6815088
452,1.5326202
453,1.3474324
454,3.5111978
455,2.6346307
456,3.4590354
457,1.6824876
458,3.2573771
459,1.3241482
460,2.1739159
461,3.1136732
462,1.6913362
463,2.9515975
464,1.7948437
465,2.481576
466,1.21748
467,1.7299545
468,2.423904
469,1.3306034
470,2.8647728
471,2.5978105
472,1.2354254
473,1.5998288
474,1.9397514
475,2.034914
476,1.5548964
477,2.6345096
478,1.6742511
479,1.4016628
480,2.5732675
481,1.1562486
482,1.6361724
483,3.3605707
484,4.7511854
485,1.7593126
486,2.841368
487,2.107005
488,0.654492
489,1.8697402
490,2.4293566
491,2.1214993
492,1.5790724
493,1.3455669
494,3.5024793
495,2.1930957
496,3.7433412
497,2.5014884
498,1.0458298
499,2.0461984
500,3.5321941
501,3.0419567
502,0.9518045
503,2.8783796
504,3.9229705
505,3.0217965
506,2.2212605
507,2.5380428
508,1.8137165
509,3.1162872
510,3.3970346
511,1.2913476
512,2.7275133
513,2.7616434
514,3.5233605
515,1.4951982
516,1.3586282
517,2.9727614
518,1.5894932
519,1.9212095
520,2.019642
521,1.466402
522,1.9401505
523,2.3417137
524,2.107484
525,2.0127306
526,2.9094775
527,1.6953194
528,1.7960199
529,2.3639424
530,1.7420567
531,1.988612
532,1.971284
533,2.4415307
534,3.1022878
535,1.602158
536,2.397701
537,2.8579757
538,2.354686
539,2.590259
540,2.7317011
541,2.5788825
542,2.3789432
543,2.835327
544,2.6069639
545,1.6949738
546,2.3384693
547,1.7701229
548,2.2263153
549,1.7499968
550,2.1552544
551,1.4421569
552,1.5913209
553,3.2237124
554,1.9420342
555,1.0565728
556,4.6226
557,2.4233775
558,3.1707494
559,2.1727018
560,3.188464
561,2.4142451
562,1.8717127
563,1.6160269
564,1.8837857
565,2.6025195
566,1.7818297
567,1.5174385
568,1.7165893
569,3.1223638
570,3.8528097
571,2.6166675
572,2.395383
573,2.8529859
574,2.6546276
575,2.3958921
576,2.9427323
577,2.8419533
578,4.2232523
579,2.471868
580,1.7927154
581,3.0688071
582,2.6522782
583,1.7498536
584,2.8833857
585,2.086801
586,1.4339879
587,2.3831694
588,1.7442089
589,1.6256377
590,4.432761
591,6.7309976
592,4.262294
593,2.3829741
594,2.3899984
595,3.102288
596,3.1703978
597,2.164415
598,3.6848683
599,2.7447233
600,2.451148
601,4.644818
602,3.4313145
603,2.5431025
604,3.312378
605,2.8807175
606,1.5309178
607,2.6262028
608,2.4529026
609,3.3866553
610,3.3897378
611,6.817519
612,2.831241
613,2.5430365
614,3.028868
615,1.7226518
616,2.0787668
617,2.4286413
618,2.9667397
619,2.058217
620,2.5828652
621,2.502473
622,3.1997855
623,2.477396
624,2.4564748
625,3.7603257
626,4.2388577
627,3.3325875
628,3.5773673
629,2.7877584
630,4.12349
631,3.6486952
632,3.3623338
633,4.5627956
634,6.0206375
635,3.5118709
636,4.413451
637,3.7604244
638,3.2087135
639,3.0738652
640,2.0407894
641,2.453376
642,2.295977
643,5.9520197
644,3.1877627
645,2.291095
646,3.0638535
647,2.646562
648,4.321279
649,3.929175
650,3.6681201
651,2.5710728
652,2.5596035
653,2.1197467
654,3.2213755
655,3.5551496
656,3.3616655
657,3.858144
658,3.7994246
659,4.3973994
660,3.882533
661,3.3579414
662,2.5453327
663,3.6897888
664,3.4129155
665,2.694407
666,2.8912184
667,4.7767043
668,3.5551524
669,2.6495006
670,2.2646444
671,2.918042
672,1.8462192
673,3.032568
674,2.7825272
675,2.284252
676,4.6174984
677,3.673246
678,1.6784623
679,4.6174383
680,3.4043698
681,2.034937
682,3.2564356
683,3.3600335
684,1.7370257
685,3.380847
686,3.422183
687,1.6642563
688,3.1337197
689,2.366537
690,3.2633727
691,2.7292771
692,2.790131
693,2.6760628
694,4.1648164
695,2.8204198
696,4.240867
697,4.4169874
698,1.9066408
699,2.9425738
700,1.5011615
701,1.703322
702,2.036386
703,2.464922
704,1.4904768
705,2.996397
706,1.1347781
707,2.9749098
708,1.6765255
709,4.3553514
710,1.5714724
711,1.914858
712,1.3806708
713,2.0510619
714,1.2354887
715,1.465466
716,2.6128778
717,3.910235
718,2.022266
719,2.4309108
720,2.3752675
721,3.1974683
722,2.75681
723,2.6196039
724,2.221376
725,2.2554107
726,2.8766472
727,2.6249828
728,1.9972596
729,3.0910463
730,2.5556338
731,4.7060905
732,1.8111925
733,1.582151
734,2.483803
735,1.871362
736,2.2065437
737,1.7932125
738,2.021793
739,1.3145763
740,2.9802494
741,3.0504048
742,2.612531
743,2.713658
744,2.2905161
745,3.162718
746,1.911858
747,2.5431614
748,3.3253403
749,1.6493393
750,3.0020263
751,1.7904037
752,1.2479955
753,3.839149
754,1.6268929
755,2.0079339
756,4.4336042
757,3.5254276
758,1.5881244
759,2.6732144
760,2.1028585
761,2.5317395
762,1.9044582
763,1.6409934
764,1.5063869
765,3.0509796
766,4.1250434
767,2.2169538
768,2.723908
769,3.0927317
770,2.1346934
771,2.1611137
772,2.0835488
773,2.0182078
774,1.6458504
775,1.904727
776,2.6200843
777,3.2387273
778,2.3137197
779,1.3843229
780,1.1012207
781,3.6503794
782,2.6517153
783,2.4940143
784,3.1987462
785,4.108009
786,1.2571898
787,2.3258579
788,1.7207377
789,3.7527406
790,2.5976546
791,2.5651727
792,2.7763948
793,2.3062184
794,3.4525669
795,2.7363377
796,2.3652608
797,1.7350162
798,3.8461838
799,2.3342354
