,maml_error
449,0.012987018
450,0.0
451,0.0
452,0.0
453,0.0
454,0.012820482
455,0.0
456,0.4935065
457,0.0
458,0.012987018
459,0.0
460,0.0
461,0.14666665
462,0.0
463,0.11538458
464,0.0
465,0.0136986375
466,0.0
467,0.06756753
468,0.0
469,0.2972973
470,0.2051282
471,0.0
472,0.24675328
473,0.0
474,0.0
475,0.18181819
476,0.0
477,0.0
478,0.0
479,0.0
480,0.012987018
481,0.07999998
482,0.35064936
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.02702701
489,0.0
490,0.12328768
491,0.11842102
492,0.0
493,0.0138888955
494,0.038961053
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.17808223
501,0.0
502,0.0
503,0.0
504,0.2205882
505,0.0
506,0.0
507,0.23943663
508,0.41428572
509,0.029850781
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0289855
519,0.2753623
520,0.0
521,0.0
522,0.0
523,0.07352942
524,0.013513505
525,0.5492958
526,0.014705896
527,0.0
528,0.0
529,0.027777791
530,0.0
531,0.029411733
532,0.0
533,0.014084518
534,0.0
535,0.0
536,0.0
537,0.059701502
538,0.0
539,0.0138888955
540,0.0
541,0.08450705
542,0.18666667
543,0.0
544,0.057971
545,0.0
546,0.25
547,0.0
548,0.4054054
549,0.2777778
550,0.28985506
551,0.0138888955
552,0.08823532
553,0.0
554,0.3521127
555,0.0
556,0.18309861
557,0.014084518
558,0.29411763
559,0.12162161
560,0.0
561,0.0
562,0.013513505
563,0.0
564,0.014084518
565,0.029411733
566,0.0
567,0.0
568,0.042253554
569,0.0
570,0.0
571,0.0
572,0.5285714
573,0.08823532
574,0.0
575,0.04347825
576,0.0
577,0.0
578,0.33823532
579,0.6811594
580,0.08823532
581,0.12857145
582,0.028571427
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.25
592,0.04285711
593,0.014285684
594,0.014084518
595,0.0
596,0.014285684
597,0.0
598,0.028169036
599,0.0
600,0.0
601,0.32467532
602,0.34615386
603,0.06410253
604,0.15999997
605,0.0
606,0.40259743
607,0.35064936
608,0.038461506
609,0.0
610,0.28205127
611,0.053333282
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.025641024
620,0.0
621,0.2368421
622,0.0
623,0.037974656
624,0.0
625,0.5263158
626,0.0
627,0.0
628,0.025641024
629,0.19736844
630,0.0
631,0.20779222
632,0.089743555
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.05194807
639,0.012820482
640,0.013157904
641,0.0
642,0.44736844
643,0.0
644,0.0
645,0.0
646,0.0
647,0.6753247
648,0.12820512
649,0.0
650,0.0
651,0.026315808
652,0.0
653,0.0
654,0.0
655,0.21333331
656,0.013157904
657,0.0
658,0.0
659,0.11538458
660,0.0
661,0.14864862
662,0.6419753
663,0.0
664,0.0
665,0.0
666,0.0
667,0.24675328
668,0.12987012
669,0.13333333
670,0.2631579
671,0.0
672,0.013333321
673,0.013157904
674,0.0
675,0.31578946
676,0.0
677,0.0
678,0.012658179
679,0.0
680,0.0
681,0.0
682,0.0
683,0.038961053
684,0.0
685,0.013513505
686,0.24358976
687,0.38157892
688,0.0
689,0.09210527
690,0.0
691,0.07999998
692,0.0
693,0.025641024
694,0.556962
695,0.0
696,0.0
697,0.0
698,0.026315808
699,0.026315808
700,0.0
701,0.0
702,0.05128205
703,0.0
704,0.0
705,0.5
706,0.27499998
707,0.12195122
708,0.0
709,0.0
710,0.16216213
711,0.0
712,0.2972973
713,0.0
714,0.0
715,0.3888889
716,0.026315808
717,0.08333331
718,0.0
719,0.16216213
720,0.0
721,0.41176468
722,5.9604645e-08
723,0.4166667
724,0.0
725,0.12820512
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.16666669
734,0.0
735,0.1388889
736,0.058823526
737,0.0
738,0.18421054
739,0.0
740,0.6388889
741,0.029411733
742,0.0
743,0.0
744,0.0
745,0.026315808
746,0.0
747,0.02702701
748,0.0
749,0.2162162
750,0.0
751,0.0
752,0.0
753,0.0
754,0.026315808
755,0.0
756,0.0
757,0.0
758,0.3243243
759,0.0
760,0.0
761,0.078947365
762,0.023809493
763,0.34285712
764,0.0
765,0.28947365
766,0.0
767,0.0
768,0.02439028
769,0.0
770,0.02702701
771,0.02439028
772,0.0
773,0.6216216
774,0.026315808
775,0.2368421
776,0.0
777,0.08571428
778,0.0
779,0.2631579
780,0.02702701
781,0.34285712
782,0.39473683
783,0.0
784,0.7222222
785,0.05405402
786,0.2368421
787,0.05405402
788,0.0
789,0.0
790,0.4324324
791,0.0
792,0.17142856
793,0.16216213
794,0.0
795,0.0
796,0.2352941
797,0.0
798,0.0
799,0.0
